Skp1_POZ PF03931.15 Zea_gi|293337209|ref|NP_001168727.1|
LRRNT_2 PF08263.12 1498_xa21
PMEI PF04043.15 Zea_gi|1314997910|ref|XP_023156941.1|
Pkinase PF00069.25 170016_BAK1
Pkinase_Tyr PF07714.17 170016_BAK1
LRRNT_2 PF08263.12 170016_BAK1
LRRNT_2 PF08263.12 170016_BAK1
LRR_8 PF13855.6 170016_BAK1
LRR_8 PF13855.6 170016_BAK1
LRR_8 PF13855.6 170016_BAK1
LRR_8 PF13855.6 170016_BAK1
LRR_4 PF12799.7 170016_BAK1
LRR_4 PF12799.7 170016_BAK1
LRR_4 PF12799.7 170016_BAK1
LRR_4 PF12799.7 170016_BAK1
LRR_4 PF12799.7 170016_BAK1
Arm PF00514.23 Ara_AT3G03440.1
Arm PF00514.23 Ara_AT3G03440.1
Arm PF00514.23 Ara_AT3G03440.1
Arm PF00514.23 Ara_AT3G03440.1
Arm PF00514.23 Ara_AT3G03440.1
Arm PF00514.23 Ara_AT3G03440.1
Arm PF00514.23 Ara_AT3G03440.1
Arm PF00514.23 Ara_AT3G03440.1
Arm_2 PF04826.13 Ara_AT3G03440.1
Arm_2 PF04826.13 Ara_AT3G03440.1
Arm_2 PF04826.13 Ara_AT3G03440.1
X8 PF07983.13 Ara_AT1G79480.1
DUF761 PF05553.11 Ory_Jap_gi|1002295316|ref|XP_015611091.1|
NB-ARC PF00931.22 142_Mi1.2
Rx_N PF18052.1 142_Mi1.2
Rx_N PF18052.1 142_Mi1.2
Rx_N PF18052.1 142_Mi1.2
Jacalin PF01419.17 150964_RTM1
NB-ARC PF00931.22 170002_Cre3
DUF761 PF05553.11 Beta_gi|731377098|ref|XP_010667777.1|
DUF761 PF05553.11 Beta_gi|731377098|ref|XP_010667777.1|
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_8 PF13855.6 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_4 PF12799.7 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRR_1 PF00560.33 136_Cf-9
LRRNT_2 PF08263.12 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
LRR_6 PF13516.6 136_Cf-9
DUF863 PF05904.11 Gly_gi|571461399|ref|XP_006581983.1|
DUF863 PF05904.11 Gly_gi|571461399|ref|XP_006581983.1|
Fasciclin PF02469.22 Nic_tab_gi|1025193206|ref|XP_016475663.1|
NB-ARC PF00931.22 161440_Pl8
Rx_N PF18052.1 161440_Pl8
Rx_N PF18052.1 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
LRR_4 PF12799.7 161440_Pl8
HSP70 PF00012.20 Nic_tab_gi|1025278109|ref|XP_016494759.1|
P34-Arc PF04045.14 Beta_gi|731320699|ref|XP_010670953.1|
P34-Arc PF04045.14 Beta_gi|731320699|ref|XP_010670953.1|
Atg14 PF10186.9 Aeg_gi|1149828016|ref|XP_020171322.1|
Atg14 PF10186.9 Aeg_gi|1149828016|ref|XP_020171322.1|
TIR PF01582.20 135724_P2
NB-ARC PF00931.22 135724_P2
NB-ARC PF00931.22 135724_P2
TIR_2 PF13676.6 135724_P2
NB-ARC PF00931.22 130_Bs2
AAA_16 PF13191.6 130_Bs2
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_2 PF12796.7 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_4 PF13637.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_3 PF13606.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank PF00023.30 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
Ank_5 PF13857.6 Beta_gi|731328078|ref|XP_010674853.1|
PGG PF13962.6 Beta_gi|731328078|ref|XP_010674853.1|
PGG PF13962.6 Beta_gi|731328078|ref|XP_010674853.1|
NB-ARC PF00931.22 161438_Pm3
Rx_N PF18052.1 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_4 PF12799.7 161438_Pm3
LRR_8 PF13855.6 161438_Pm3
LRR_8 PF13855.6 161438_Pm3
LRR_8 PF13855.6 161438_Pm3
LRR_8 PF13855.6 161438_Pm3
LRR_8 PF13855.6 161438_Pm3
LRR_8 PF13855.6 161438_Pm3
NB-ARC PF00931.22 170003_Yr10
Rx_N PF18052.1 170003_Yr10
Rx_N PF18052.1 170003_Yr10
DA1-like PF12315.8 170017_CHS3
DA1-like PF12315.8 170017_CHS3
NB-ARC PF00931.22 170017_CHS3
LRR_4 PF12799.7 170017_CHS3
LRR_4 PF12799.7 170017_CHS3
LRR_4 PF12799.7 170017_CHS3
LRR_4 PF12799.7 170017_CHS3
LRR_4 PF12799.7 170017_CHS3
LRR_4 PF12799.7 170017_CHS3
LIM PF00412.22 170017_CHS3
LIM PF00412.22 170017_CHS3
LIM PF00412.22 170017_CHS3
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_8 PF13855.6 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_4 PF12799.7 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
LRR_1 PF00560.33 137_Cf9B
